instance_type,vcpu,memory,bandwidth
m5.large,2,8,650
m5.xlarge,4,16,1150
m5.2xlarge,8,32,2300
m5.4xlarge,16,64,4750
m5.8xlarge,32,128,6800
m5.12xlarge,48,192,9500
m5.16xlarge,64,256,13600
m5.24xlarge,96,384,19000
r5b.large,2,16,1250
r5b.xlarge,4,32,2500
r5b.2xlarge,8,64,5000
r5b.4xlarge,16,128,10000
r5b.8xlarge,32,256,20000
r5b.12xlarge,48,384,30000
r5b.16xlarge,64,512,40000
r5b.24xlarge,96,768,60000
r6i.large,2,16,650
r6i.xlarge,4,32,1250
r6i.2xlarge,8,64,2500
r6i.4xlarge,16,128,5000
r6i.8xlarge,16,128,10000
r6i.12xlarge,48,384,15000
r6i.16xlarge,64,512,20000
r6i.24xlarge,96,768,30000
r6i.32xlarge,128,1024,40000
